YR,COflows,COinflows
1526,18238444,0
1527,17532499,0
1528,13177312,0
1529,15171035,0
1530,15375853,0
1531,7981140,0
1532,5770816,0
1533,15835009,0
1534,17140512,0
1535,17318324,0
1536,19772326,0
1537,17231643,0
1538,10849382,0
1539,15297488,0
1540,18280541,0
1541,16094878,0
1542,5943902,0
1543,13651732,0
1544,11417908,0
1545,10884303,0
1546,16986742,0
1547,16608440,0
1548,17097490,0
1549,20321540,0
1550,18140838,0
1551,12344133,0
1552,15010693,0
1553,21118609,0
1554,14865623,0
1555,14600919,0
1556,16014145,0
1557,18686037,0
1558,9366400,0
1559,12471945,0
1560,17519942,0
1561,13611055,0
1562,10860170,0
1563,14161188,0
1564,18925366,0
1565,17461973,0
1566,12329556,0
1567,12587999,0
1568,14369337,0
1569,14448698,0
1570,17670864,0
1571,14857286,0
1572,15810191,0
1573,11196090,0
1574,9018733,0
1575,15157797,0
1576,13425936,0
1577,17434913,0
1578,16929319,0
1579,12196115,0
1580,6545386,0
1581,12459877,0
1582,15394834,0
1583,11528963,0
1584,5065861,0
1585,11162872,0
1586,16804806,0
1587,14052118,0
1588,16570708,0
1589,15901033,0
1590,8230022,0
1591,9354717,0
1592,10742741,0
1593,14645499,0
1594,17600884,0
1595,18046022,0
1596,18496086,0
1597,13192564,0
1598,6928084,0
1599,16719725,0
1600,8960227,0
1601,16263698,0
1602,16788943,0
1603,17378911,0
1604,20769598,0
1605,20357729,0
1606,17928935,0
1607,8618502,0
1608,16334922,0
1609,17231604,0
1610,20450994,0
1611,17767330,0
1612,13558944,0
1613,17831145,0
1614,18962714,0
1615,18973181,0
1616,17390572,0
1617,19238230,0
1618,18335574,0
1619,15764215,0
1620,16280395,0
1621,19228895,0
1622,12852050,0
1623,11383467,0
1624,10010793,0
1625,8559332,0
1626,10719155,0
1627,16419855,0
1628,17162425,0
1629,13422717,0
1630,13206160,0
1631,9950750,0
1632,10364626,0
1633,17560535,0
1634,14876760,0
1635,13905808,0
1636,13463969,0
1637,12850771,0
1638,13025056,0
1639,17245707,0
1640,17344244,0
1641,15639305,0
1642,16139706,0
1643,15732442,0
1644,14368511,0
1645,10656822,0
1646,11825314,0
1647,16727114,0
1648,13309322,0
1649,20808580,0
1650,19372009,0
1651,18243928,0
1652,14110301,0
1653,9955852,0
1654,5697057,0
1655,20749456,0
1656,15759561,0
1657,15674917,0
1658,12454468,0
1659,14148090,0
1660,15539915,0
1661,13961918,0
1662,14684597,0
1663,12940337,0
1664,9505687,0
1665,14795378,0
1666,11303027,0
1667,9813918,0
1668,11291979,0
1669,17499695,0
1670,10785486,0
1671,9022441,0
1672,17212381,0
1673,17909282,0
1674,18177502,0
1675,13836780,0
1676,16956507,0
1677,16501330,0
1678,22006178,0
1679,16245453,0
1680,19617118,0
1681,17762032,0
1682,14269412,0
1683,19093399,0
1684,10689075,0
1685,2322177,0
1686,9842311,0
1687,15622717,0
1688,17358260,0
1689,16348071,0
1690,16804401,0
1691,17441394,0
1692,13839010,0
1693,16676798,0
1694,13117077,0
1695,13347773,0
1696,14512797,0
1697,16420690,0
1698,18564498,0
1699,16346622,0
1700,13426001,0
1701,18306871,0
1702,17601431,0
1703,13488958,0
1704,9756015,0
1705,15154305,0
1706,11021615,0
1707,10844602,0
1708,11701556,0
1709,16118452,0
1710,16434633,0
1711,15857383,0
1712,16981628,0
1713,13149720,0
1714,8616161,0
1715,16761784,0
1716,15157404,0
1717,14038381,0
1718,16007992,0
1719,19531052,0
1720,23128312,0
1721,12390175,0
1722,6949958,0
1723,13304340,0
1724,16426371,0
1725,20992798,0
1726,23447554,0
1727,17418148,0
1728,10789022,0
1729,7214078,0
1730,12825200,0
1731,15044130,0
1732,14820605,0
1733,16069785,0
1734,19152893,0
1735,7886935,0
1736,7848322,0
1737,12612781,0
1738,19027369,0
1739,17020702,0
1740,10444545,0
1741,16647748,0
1742,17414794,0
1743,18598879,0
1744,13134391,0
1745,16205589,0
1746,20558223,0
1747,21190904,0
1748,8583517,0
1749,17431930,0
1750,12591948,0
1751,14025177,0
1752,12163455,0
1753,17390820,0
1754,15389495,0
1755,12521122,0
1756,8647480,0
1757,10506417,0
1758,14485832,0
1759,11710169,0
1760,18094832,0
1761,17842243,0
